Award ID,Award Title,Award Status,Activation/Begin Date,Proposal ID,PI Name,Responsible Dept ID,Responsible Dept Name,Funding Source,CFDA Num,Sponsor,Flow-Thru Sponsor,Project Number,Funding Dept ID,Fund Code,Distribution Dept Name,Dept %,Awarded Direct,Awarded Indirect,Awarded Total,Co-PI Name List,Distribution College,Distribution Dept ID,End Date
0000028978,"Targeting lmmunogenicity To The MPER Hinge And C-Helix For BNAb Elicitation",Active,2016-08-05,0000028978,"Song,Likai",227000,Natl High Magnetic Field Lab,Federal,93.855,Dana-Farber Cancer Institute,National Institute of Allergy,042633,227000,520,Natl High Magnetic Field Lab,100,1474,0,1474,,VP Research,227000,2021-07-31 00:00:00
0000028978,"Targeting lmmunogenicity To The MPER Hinge And C-Helix For BNAb Elicitation",Active,2016-08-05,0000028978,"Song,Likai",227000,Natl High Magnetic Field Lab,Federal,93.855,Dana-Farber Cancer Institute,National Institute of Allergy,042633,227000,524,Natl High Magnetic Field Lab,100,51033,33916,84949,,VP Research,227000,2021-07-31 00:00:00
0000028978,"Targeting lmmunogenicity To The MPER Hinge And C-Helix For BNAb Elicitation",Active,2016-08-05,0000028978,"Song,Likai",227000,Natl High Magnetic Field Lab,Federal,93.855,Dana-Farber Cancer Institute,National Institute of Allergy,044137,227000,524,Natl High Magnetic Field Lab,100,47402,33181,80583,,VP Research,227000,2021-07-31 00:00:00
0000028978,"Targeting lmmunogenicity To The MPER Hinge And C-Helix For BNAb Elicitation",Active,2016-08-05,0000028978,"Song,Likai",227000,Natl High Magnetic Field Lab,Federal,93.855,Dana-Farber Cancer Institute,National Institute of Allergy,045978,227000,524,Natl High Magnetic Field Lab,100,48498,33975,82473,,VP Research,227000,2021-07-31 00:00:00
0000028996,Northern Education Initiative Plus,Active,2015-11-05,0000028996,"Barnes-Story,Adrienne Elissa",186000,Learning Systems Institute,Federal,98.999,"Creative Associates International, Inc.",U. S. Agency for International Develop,037853,186000,524,Learning Systems Institute,100,853504,221911,1075415,"Boyle, Helen; Milligan, Jeffrey",Provost & VP Academic Affairs,186000,2021-03-25 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,089009,520,Medicine Clinical Sciences,8,115203.92,55543.36,170747.28,"Appelbaum, Jonathan; Williams, Diana",College of Medicine,205000,2023-04-30 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,089009,520,Psychology Sponsored Projects,92,1324845.08,638748.64,1963593.72,"Appelbaum, Jonathan; Williams, Diana",College of Arts & Sciences,089009,2023-04-30 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,089009,556,Medicine Clinical Sciences,8,0.08,0,0.08,"Appelbaum, Jonathan; Williams, Diana",College of Medicine,205000,2023-04-30 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,089009,556,Psychology Sponsored Projects,92,0.92,0,0.92,"Appelbaum, Jonathan; Williams, Diana",College of Arts & Sciences,089009,2023-04-30 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,205000,556,Medicine Clinical Sciences,8,0.08,0,0.08,"Appelbaum, Jonathan; Williams, Diana",College of Medicine,205000,2023-04-30 00:00:00
0000029025,Biobehavioral Prediction of Illness Trajectory in Bulimic Syndromes,Active,2016-08-05,0000029025,"Keel,Pamela K",089009,Psychology Sponsored Projects,Federal,93.242,National Institute of Mental H,-,037882,205000,556,Psychology Sponsored Projects,92,0.92,0,0.92,"Appelbaum, Jonathan; Williams, Diana",College of Arts & Sciences,089009,2023-04-30 00:00:00
0000029072,Subversion of cGAS DNA Sensing by KSHV: Roles of ORF52/KicGAS,Active,2016-07-01,0000029072,"Zhu,Fanxiu",074012,Biology Sponsored Projects,Federal,93.121,National Institute of Dental,-,037930,074012,520,Biology Sponsored Projects,80,1021347.2,458092.8,1479440,"Yin, Qian",College of Arts & Sciences,074012,2023-05-31 00:00:00
0000029072,Subversion of cGAS DNA Sensing by KSHV: Roles of ORF52/KicGAS,Active,2016-07-01,0000029072,"Zhu,Fanxiu",074012,Biology Sponsored Projects,Federal,93.121,National Institute of Dental,-,037930,074012,520,Chemistry & Biochemistry,10,127668.4,57261.6,184930,"Yin, Qian",College of Arts & Sciences,075000,2023-05-31 00:00:00
0000029072,Subversion of cGAS DNA Sensing by KSHV: Roles of ORF52/KicGAS,Active,2016-07-01,0000029072,"Zhu,Fanxiu",074012,Biology Sponsored Projects,Federal,93.121,National Institute of Dental,-,037930,074012,520,Inst of Molecular Biophysics,10,127668.4,57261.6,184930,"Yin, Qian",College of Arts & Sciences,073000,2023-05-31 00:00:00
0000029092,Sexual Violence Prevention Program,Active,2016-02-01,0000029092,"Wilson,Cynthia Bruce",156000,FL Ctr for Prevention Rsch,Federal,93.136,Panhandle Area Educational Consortium,Centers for Disease Control and,037951,156000,524,FL Ctr for Prevention Rsch,100,201622,10082,211704,,Provost & VP Academic Affairs,156000,2021-01-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,214000,140,Chemical Engineering,13,1950,0,1950,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",College of Engineering,214000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,214000,140,Natl High Magnetic Field Lab,87,13050,0,13050,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",VP Research,227000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,110,Chemical Engineering,13,45133.92,0,45133.92,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",College of Engineering,214000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,110,Natl High Magnetic Field Lab,87,302050.08,0,302050.08,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",VP Research,227000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,520,Chemical Engineering,13,118806.35,41561.26,160367.61,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",College of Engineering,214000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,520,Natl High Magnetic Field Lab,87,795088.65,278140.74,1073229.39,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",VP Research,227000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,555,Chemical Engineering,13,21645,0,21645,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",College of Engineering,214000,2022-08-31 00:00:00
0000029106,MRI: Development of X-Ray Diffraction In High Magnetic Fields,Active,2016-09-01,0000029106,"Siegrist,Theo Max",227000,Natl High Magnetic Field Lab,Federal,47.049,National Science Foundation,-,037965,227000,555,Natl High Magnetic Field Lab,87,144855,0,144855,"Kovalev, Alexey; Smith, Julia; Suslov, Alexey",VP Research,227000,2022-08-31 00:00:00
0000029128,DIP: Game-based Assessment and Support of STEM-related Competencies,Active,2016-09-01,0000029128,"Shute,Valerie J",124000,COE Office of Research,Federal,47.070,National Science Foundation,-,037988,124000,520,COE Office of Research,50,367683.5,165445,533128.5,"Almond, Russell; Ke, Fengfeng",College of Education,124000,2021-05-31 00:00:00
0000029128,DIP: Game-based Assessment and Support of STEM-related Competencies,Active,2016-09-01,0000029128,"Shute,Valerie J",124000,COE Office of Research,Federal,47.070,National Science Foundation,-,037988,124000,520,Edu Psychology & Learning Sys,50,367683.5,165445,533128.5,"Almond, Russell; Ke, Fengfeng",College of Education,126000,2021-05-31 00:00:00
0000029143,Ready To Learn Community Collaboratives for Early Learning Media,Active,2015-12-01,0000029143,"Kelling,Kimberly",055000,WFSU TV,Federal,84.295,Corporation for Public Broadca,U. S. Department of Education,038003,055000,524,WFSU TV,100,319047,82952,401999,,VP University Relations,055000,2020-12-31 00:00:00
0000029161,Developmental Learning Involves Nonsynaptic Plasticity,Active,2017-04-15,0000029161,"Hyson,Richard L",089009,Psychology Sponsored Projects,Federal,47.074,National Science Foundation,-,038021,089009,520,Inst of Molecular Biophysics,5,27195.75,12804.25,40000,"Bertram, Richard; Johnson, James; Wu, Wei",College of Arts & Sciences,073000,2023-03-31 00:00:00
0000029161,Developmental Learning Involves Nonsynaptic Plasticity,Active,2017-04-15,0000029161,"Hyson,Richard L",089009,Psychology Sponsored Projects,Federal,47.074,National Science Foundation,-,038021,089009,520,Mathematics Sponsored Projects,15,81587.25,38412.75,120000,"Bertram, Richard; Johnson, James; Wu, Wei",College of Arts & Sciences,081003,2023-03-31 00:00:00
0000029161,Developmental Learning Involves Nonsynaptic Plasticity,Active,2017-04-15,0000029161,"Hyson,Richard L",089009,Psychology Sponsored Projects,Federal,47.074,National Science Foundation,-,038021,089009,520,Psychology Sponsored Projects,70,380740.5,179259.5,560000,"Bertram, Richard; Johnson, James; Wu, Wei",College of Arts & Sciences,089009,2023-03-31 00:00:00
0000029161,Developmental Learning Involves Nonsynaptic Plasticity,Active,2017-04-15,0000029161,"Hyson,Richard L",089009,Psychology Sponsored Projects,Federal,47.074,National Science Foundation,-,038021,089009,520,Statistics,10,54391.5,25608.5,80000,"Bertram, Richard; Johnson, James; Wu, Wei",College of Arts & Sciences,088000,2023-03-31 00:00:00
0000029172,Collaborative Research On Individual And Team Behavior In Strategic  Interactions,Active,2016-08-01,0000029172,"Cooper,David Jacob",164000,Economics,Federal,47.075,National Science Foundation,-,038032,164000,520,Economics,34,32026.3,14688.34,46714.64,,College of Soc Sci & Pub Pol,164000,2022-07-31 00:00:00
0000029172,Collaborative Research On Individual And Team Behavior In Strategic  Interactions,Active,2016-08-01,0000029172,"Cooper,David Jacob",164000,Economics,Federal,47.075,National Science Foundation,-,038032,164000,520,Exper.  Econ. & Political Scie,66,62168.7,28512.66,90681.36,,College of Soc Sci & Pub Pol,164002,2022-07-31 00:00:00
0000029194,Topology and Dynamics in Low Dimensions,Active,2016-09-01,0000029194,"Hironaka,Eriko",081003,Mathematics Sponsored Projects,Other,-,Simons Foundation,-,038054,081003,545,Mathematics Sponsored Projects,100,30000,5000,35000,,College of Arts & Sciences,081003,2023-08-31 00:00:00
0000029197,"Mathematical Models of Cortical Folding in Development, Aging, and Disease",Active,2016-09-01,0000029197,"Hurdal,Monica K",081003,Mathematics Sponsored Projects,Other,-,Simons Foundation,-,038057,081003,545,Mathematics Sponsored Projects,100,30000,5000,35000,,College of Arts & Sciences,081003,2023-08-31 00:00:00
0000029309,Demagnetization Of Selected Permanent Magnet Materials,Active,2016-02-05,0000029309,"Han,Ke",227000,Natl High Magnetic Field Lab,Other,-,"Danfoss Turbocor Compressors, Inc.",-,038172,227000,545,Natl High Magnetic Field Lab,100,50000,0,50000,,VP Research,227000,2024-03-31 00:00:00
0000029355,Microdevice-Armed Macrophage For Treating Cancer,Active,2017-08-01,0000029355,"Guan,Jingjiao",214000,Chemical Engineering,Federal,93.395,National Cancer Institute,-,038218,214000,520,Chemical Engineering,48,48000.48,19813.44,67813.92,"Ren, Yi",College of Engineering,214000,2021-07-31 00:00:00
0000029355,Microdevice-Armed Macrophage For Treating Cancer,Active,2017-08-01,0000029355,"Guan,Jingjiao",214000,Chemical Engineering,Federal,93.395,National Cancer Institute,-,038218,214000,520,Chemistry & Biochemistry,47,47000.47,19400.66,66401.13,"Ren, Yi",College of Arts & Sciences,075000,2021-07-31 00:00:00
0000029355,Microdevice-Armed Macrophage For Treating Cancer,Active,2017-08-01,0000029355,"Guan,Jingjiao",214000,Chemical Engineering,Federal,93.395,National Cancer Institute,-,038218,214000,520,Medicine Biomedical Sciences,5,5000.05,2063.9,7063.95,"Ren, Yi",College of Medicine,204000,2021-07-31 00:00:00
0000029383,Developing Therapeutic Strategies for Histone H3.3 Mutant Tumors Via Rational Targeting of Specific DNA Repair Pathways,Active,2017-01-01,0000029383,"Gunjan,Akash",204000,Medicine Biomedical Sciences,Federal,93.393,National Cancer Institute,-,038246,204000,520,Medicine Biomedical Sciences,100,294027,135556,429583,"Laywell, Eric",College of Medicine,204000,2021-08-31 00:00:00
0000029399,"Geochemical Studies Of Individual Clasts In The Martian Breccia, NWA 7533",Active,2017-02-01,0000029399,"Humayun,Munir",227000,Natl High Magnetic Field Lab,Federal,43.001,National Aeronautics & Space A,-,038262,227000,520,"Earth, Ocean & Atmospheric Sci",50,148214,102733,250947,,College of Arts & Sciences,069000,2021-01-31 00:00:00
0000029399,"Geochemical Studies Of Individual Clasts In The Martian Breccia, NWA 7533",Active,2017-02-01,0000029399,"Humayun,Munir",227000,Natl High Magnetic Field Lab,Federal,43.001,National Aeronautics & Space A,-,038262,227000,520,Natl High Magnetic Field Lab,50,148214,102733,250947,,VP Research,227000,2021-01-31 00:00:00
0000029416,NRT-IGE: Mixed Reality Integrated Teaching Training for STEM Graduate Teaching Assistants,Active,2016-09-15,0000029416,"Ke,Fengfeng",124000,COE Office of Research,Federal,47.076,National Science Foundation,-,038279,124000,520,COE Office of Research,50,165093,84904,249997,"Yuan, Xin",College of Education,124000,2020-08-31 00:00:00
0000029416,NRT-IGE: Mixed Reality Integrated Teaching Training for STEM Graduate Teaching Assistants,Active,2016-09-15,0000029416,"Ke,Fengfeng",124000,COE Office of Research,Federal,47.076,National Science Foundation,-,038279,124000,520,Computer Science,25,82546.5,42452,124998.5,"Yuan, Xin",College of Arts & Sciences,080000,2020-08-31 00:00:00
0000029416,NRT-IGE: Mixed Reality Integrated Teaching Training for STEM Graduate Teaching Assistants,Active,2016-09-15,0000029416,"Ke,Fengfeng",124000,COE Office of Research,Federal,47.076,National Science Foundation,-,038279,124000,520,Edu Psychology & Learning Sys,25,82546.5,42452,124998.5,"Yuan, Xin",College of Education,126000,2020-08-31 00:00:00
0000029429,Development Of A High-Sensitivity 13C NMR Probe For Metabolomics,Active,2016-12-05,0000029429,"Brey,William W",227000,Natl High Magnetic Field Lab,Federal,93.859,University of Georgia,National Institutes of Health,038294,227000,524,Natl High Magnetic Field Lab,100,449960,276782,726742,,VP Research,227000,2021-11-30 00:00:00
0000029440,LTER: CCE-LTER Phase III: Ecological transitions in an Eastern Boundary Current Upwelling Ecosystem,Active,2016-08-01,0000029440,"Stukel,Michael R",069000,"Earth, Ocean & Atmospheric Sci",Federal,47.050,University of California San Diego,National Science Foundation,038305,069000,524,"Earth, Ocean & Atmospheric Sci",100,156500,72164,228664,,College of Arts & Sciences,069000,2023-07-31 00:00:00
0000029463,Illuminating the Pathways to Carbon Liberation: A Systems Approach to Characterizing the Consequential Unknowns of Carbon Transformation and Loss from Thawing Permafrost Peatlands,Active,2016-08-15,0000029463,"Chanton,Jeff",069000,"Earth, Ocean & Atmospheric Sci",Federal,81.049,Ohio State University,U. S. Department of Energy,038331,069000,524,"Earth, Ocean & Atmospheric Sci",100,275792,131809,407601,"Wilson, Rachel",College of Arts & Sciences,069000,2020-08-14 00:00:00
0000029473,Chromatin and Behavior,Active,2017-09-01,0000029473,"Arbeitman,Michelle Nina",204000,Medicine Biomedical Sciences,Federal,93.859,National Institute of General,-,038342,204000,520,Medicine Biomedical Sciences,100,697411,352549,1049960,,College of Medicine,204000,2023-06-30 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,038343,204000,520,Medicine Biomedical Sciences,65,536129.75,266620.25,802750,"Duclot, Florian; Liu, Yan; Wang, Zuoxin",College of Medicine,204000,2022-05-31 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,038343,204000,520,Psychology Sponsored Projects,35,288685.25,143564.75,432250,"Duclot, Florian; Liu, Yan; Wang, Zuoxin",College of Arts & Sciences,089009,2022-05-31 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,039664,089009,520,Medicine Biomedical Sciences,65,286198.25,146051.75,432250,"Liu, Yan",College of Medicine,204000,2022-05-31 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,039664,089009,520,Psychology Sponsored Projects,35,154106.75,78643.25,232750,"Liu, Yan",College of Arts & Sciences,089009,2022-05-31 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,039664,089009,556,Medicine Biomedical Sciences,65,0.65,0,0.65,"Liu, Yan",College of Medicine,204000,2022-05-31 00:00:00
0000029474,Epigenetics of Social Bonding In Prairie Voles,Active,2016-09-26,0000029474,"Kabbaj,Mohamed",204000,Medicine Biomedical Sciences,Federal,93.242,National Institute of Mental H,-,039664,089009,556,Psychology Sponsored Projects,35,0.35,0,0.35,"Liu, Yan",College of Arts & Sciences,089009,2022-05-31 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,038362,074012,520,Biology Sponsored Projects,50,412369,170548,582917,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Arts & Sciences,074012,2022-09-30 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,038362,074012,520,COE Office of Research,25,206184.5,85274,291458.5,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Education,124000,2022-09-30 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,038362,074012,520,Comp Sci Sponsored Projects,25,206184.5,85274,291458.5,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Arts & Sciences,080003,2022-09-30 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,039195,074012,520,Biology Sponsored Projects,50,47700,0,47700,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Arts & Sciences,074012,2022-09-30 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,039195,074012,520,COE Office of Research,25,23850,0,23850,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Education,124000,2022-09-30 00:00:00
0000029490,A Study of the Curriculum Design for Integration of Middle School Mathematics and Computer Science,Active,2016-10-01,0000029490,"Yuan,Xin",074012,Biology Sponsored Projects,Federal,47.076,National Science Foundation,-,039195,074012,520,Comp Sci Sponsored Projects,25,23850,0,23850,"Andrews-Larson, Christine; Granger, Donna; Southerland, Sherry; Whalley, David",College of Arts & Sciences,080003,2022-09-30 00:00:00
0000029508,CIF21 DIBBs: EI: VIFI: Virtual Information-Fabric Infrastructure (VIFI) for Data-Driven Decisions from Distributed Data,Active,2016-10-01,0000029508,"Lee,Keon-Hyung",170000,Public Administration,Federal,47.070,Louisiana State University,National Science Foundation,038382,170000,524,Public Administration,100,69668,30332,100000,,College of Soc Sci & Pub Pol,170000,2021-09-30 00:00:00
0000029529,Collaborative Research: Multimodel Bayesian Data-Worth Analysis for Aquifer Characterization and Contaminant Remediation,Active,2016-08-01,0000029529,"Ye,Ming",069000,"Earth, Ocean & Atmospheric Sci",Federal,47.050,National Science Foundation,-,038404,069000,520,"Earth, Ocean & Atmospheric Sci",100,180344,74424,254768,,College of Arts & Sciences,069000,2021-07-31 00:00:00
0000029529,Collaborative Research: Multimodel Bayesian Data-Worth Analysis for Aquifer Characterization and Contaminant Remediation,Active,2016-08-01,0000029529,"Ye,Ming",069000,"Earth, Ocean & Atmospheric Sci",Federal,47.050,National Science Foundation,-,038404,137000,520,Scientific Computing,100,12258,4575,16833,,College of Arts & Sciences,137000,2021-07-31 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,Communication Disorders,1,141262.7,22245.18,163507.88,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Comm & Information,183000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,Edu Leadership & Policy Stds,2,282525.4,44490.36,327015.76,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,129000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,Edu Psychology & Learning Sys,1,141262.7,22245.18,163507.88,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,126000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,FCRR Sponsored Projects,89,12572380.3,1979821.02,14552201.32,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",VP Research,286009,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,Learning Systems Institute,1,141262.7,22245.18,163507.88,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",Provost & VP Academic Affairs,186000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,Psychology Sponsored Projects,1,141262.7,22245.18,163507.88,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Arts & Sciences,089009,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,038409,286009,520,School of Teacher Education,5,706313.5,111225.9,817539.4,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,130000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,Communication Disorders,1,4552.81,1365.84,5918.65,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Comm & Information,183000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,Edu Leadership & Policy Stds,2,9105.62,2731.68,11837.3,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,129000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,Edu Psychology & Learning Sys,1,4552.81,1365.84,5918.65,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,126000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,FCRR Sponsored Projects,89,405200.09,121559.76,526759.85,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",VP Research,286009,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,Learning Systems Institute,1,4552.81,1365.84,5918.65,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",Provost & VP Academic Affairs,186000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,Psychology Sponsored Projects,1,4552.81,1365.84,5918.65,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Arts & Sciences,089009,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039773,286009,520,School of Teacher Education,5,22764.05,6829.2,29593.25,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,130000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039791,286009,520,Communication Disorders,1,89583.17,19190.29,108773.46,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Comm & Information,183000,2022-01-02 00:00:00
0000029534,Regional Educational Laboratory Southeast,Active,2017-01-03,0000029534,"Hughes,John E",286009,FCRR Sponsored Projects,Federal,84.999,U. S. Department of Education,-,039791,286009,520,Edu Leadership & Policy Stds,2,179166.34,38380.58,217546.92,"Koon, Sharon; Patton-Terry, Nicole; Smith, Kevin",College of Education,129000,2022-01-02 00:00:00
